Date and Time Stamp,Tag,% Open
3/22/2017 2:53,Filter 6 dsh valve postion,-0.03
3/22/2017 3:08,Filter 6 dsh valve postion,-0.03
3/22/2017 3:23,Filter 6 dsh valve postion,-0.02
3/22/2017 3:38,Filter 6 dsh valve postion,-0.02
3/22/2017 3:53,Filter 6 dsh valve postion,-0.04
3/22/2017 4:08,Filter 6 dsh valve postion,-0.015
3/22/2017 4:23,Filter 6 dsh valve postion,-0.035
3/22/2017 4:38,Filter 6 dsh valve postion,-0.025
3/22/2017 4:53,Filter 6 dsh valve postion,-0.01
3/22/2017 5:08,Filter 6 dsh valve postion,-0.03
3/22/2017 5:23,Filter 6 dsh valve postion,99.945
3/22/2017 5:38,Filter 6 dsh valve postion,99.965
3/22/2017 5:53,Filter 6 dsh valve postion,-0.045
3/22/2017 6:08,Filter 6 dsh valve postion,-0.015
3/22/2017 6:23,Filter 6 dsh valve postion,-0.01
3/22/2017 6:38,Filter 6 dsh valve postion,33.605
3/22/2017 6:53,Filter 6 dsh valve postion,99.985
3/22/2017 7:08,Filter 6 dsh valve postion,99.935
3/22/2017 7:23,Filter 6 dsh valve postion,-0.025
3/22/2017 7:38,Filter 6 dsh valve postion,-0.015
3/22/2017 7:53,Filter 6 dsh valve postion,-0.035
3/22/2017 8:08,Filter 6 dsh valve postion,-0.03
3/22/2017 8:23,Filter 6 dsh valve postion,-0.005
3/22/2017 8:38,Filter 6 dsh valve postion,-0.03
3/22/2017 8:53,Filter 6 dsh valve postion,-0.01
3/22/2017 9:08,Filter 6 dsh valve postion,-0.02
3/22/2017 9:23,Filter 6 dsh valve postion,-0.015
3/22/2017 9:38,Filter 6 dsh valve postion,-0.01
3/22/2017 9:53,Filter 6 dsh valve postion,-0.025
3/22/2017 10:08,Filter 6 dsh valve postion,-0.02
3/22/2017 10:23,Filter 6 dsh valve postion,-0.015
3/22/2017 10:38,Filter 6 dsh valve postion,-0.035
3/22/2017 10:53,Filter 6 dsh valve postion,-0.02
3/22/2017 11:08,Filter 6 dsh valve postion,-0.02
3/22/2017 11:23,Filter 6 dsh valve postion,-0.04
3/22/2017 11:38,Filter 6 dsh valve postion,-0.04
3/22/2017 11:53,Filter 6 dsh valve postion,-0.03
3/22/2017 12:08,Filter 6 dsh valve postion,-0.04
3/22/2017 12:23,Filter 6 dsh valve postion,-0.04
3/22/2017 12:38,Filter 6 dsh valve postion,-0.015
3/22/2017 12:53,Filter 6 dsh valve postion,-0.035
3/22/2017 13:08,Filter 6 dsh valve postion,-0.035
3/22/2017 13:23,Filter 6 dsh valve postion,-0.035
3/22/2017 13:38,Filter 6 dsh valve postion,-0.025
3/22/2017 13:53,Filter 6 dsh valve postion,-0.005
3/22/2017 14:08,Filter 6 dsh valve postion,-0.02
3/22/2017 14:23,Filter 6 dsh valve postion,-0.01
3/22/2017 14:38,Filter 6 dsh valve postion,-0.01
3/22/2017 14:53,Filter 6 dsh valve postion,-0.025
3/22/2017 15:08,Filter 6 dsh valve postion,-0.03
3/22/2017 15:23,Filter 6 dsh valve postion,-0.035
3/22/2017 15:38,Filter 6 dsh valve postion,-0.035
3/22/2017 15:53,Filter 6 dsh valve postion,-0.05
3/22/2017 16:08,Filter 6 dsh valve postion,-0.035
3/22/2017 16:23,Filter 6 dsh valve postion,-0.03
3/22/2017 16:38,Filter 6 dsh valve postion,-0.04
3/22/2017 16:53,Filter 6 dsh valve postion,-0.025
3/22/2017 17:08,Filter 6 dsh valve postion,-0.05
3/22/2017 17:23,Filter 6 dsh valve postion,-0.05
3/22/2017 17:38,Filter 6 dsh valve postion,-0.025
3/22/2017 17:53,Filter 6 dsh valve postion,3.99
3/22/2017 18:08,Filter 6 dsh valve postion,99.96
3/22/2017 18:23,Filter 6 dsh valve postion,99.93
3/22/2017 18:38,Filter 6 dsh valve postion,99.925
3/22/2017 18:53,Filter 6 dsh valve postion,99.93
3/22/2017 19:08,Filter 6 dsh valve postion,99.915
3/22/2017 19:23,Filter 6 dsh valve postion,99.96
3/22/2017 19:38,Filter 6 dsh valve postion,99.905
3/22/2017 19:53,Filter 6 dsh valve postion,99.925
3/22/2017 20:08,Filter 6 dsh valve postion,99.965
3/22/2017 20:23,Filter 6 dsh valve postion,99.9
3/22/2017 20:38,Filter 6 dsh valve postion,-0.025
3/22/2017 20:53,Filter 6 dsh valve postion,-0.01
3/22/2017 21:08,Filter 6 dsh valve postion,-0.015
3/22/2017 21:23,Filter 6 dsh valve postion,-0.02
3/22/2017 21:38,Filter 6 dsh valve postion,-0.02
3/22/2017 21:53,Filter 6 dsh valve postion,-0.025
3/22/2017 22:08,Filter 6 dsh valve postion,-0.015
3/22/2017 22:23,Filter 6 dsh valve postion,-0.025
3/22/2017 22:38,Filter 6 dsh valve postion,-0.01
3/22/2017 22:53,Filter 6 dsh valve postion,-0.035
3/22/2017 23:08,Filter 6 dsh valve postion,-0.045
3/22/2017 23:23,Filter 6 dsh valve postion,-0.01
3/22/2017 23:38,Filter 6 dsh valve postion,-0.02
3/22/2017 23:53,Filter 6 dsh valve postion,-0.025
3/23/2017 0:08,Filter 6 dsh valve postion,-0.045
3/23/2017 0:23,Filter 6 dsh valve postion,-0.025
3/23/2017 0:38,Filter 6 dsh valve postion,-0.045
3/23/2017 0:53,Filter 6 dsh valve postion,-0.035
3/23/2017 1:08,Filter 6 dsh valve postion,-0.02
3/23/2017 1:23,Filter 6 dsh valve postion,-0.02
3/23/2017 1:38,Filter 6 dsh valve postion,-0.04
3/23/2017 1:53,Filter 6 dsh valve postion,-0.02
3/23/2017 2:08,Filter 6 dsh valve postion,-0.035
3/23/2017 2:23,Filter 6 dsh valve postion,-0.01
3/23/2017 2:38,Filter 6 dsh valve postion,-0.02
3/23/2017 2:53,Filter 6 dsh valve postion,-0.02
3/23/2017 3:08,Filter 6 dsh valve postion,-0.045
3/23/2017 3:23,Filter 6 dsh valve postion,-0.03
3/23/2017 3:38,Filter 6 dsh valve postion,-0.03
3/23/2017 3:53,Filter 6 dsh valve postion,-0.04
3/23/2017 4:08,Filter 6 dsh valve postion,-0.015
3/23/2017 4:23,Filter 6 dsh valve postion,-0.035
3/23/2017 4:38,Filter 6 dsh valve postion,-0.015
3/23/2017 4:53,Filter 6 dsh valve postion,-0.02
3/23/2017 5:08,Filter 6 dsh valve postion,-0.01
3/23/2017 5:23,Filter 6 dsh valve postion,-0.045
3/23/2017 5:38,Filter 6 dsh valve postion,-0.025
3/23/2017 5:53,Filter 6 dsh valve postion,-0.02
3/23/2017 6:08,Filter 6 dsh valve postion,-0.02
3/23/2017 6:23,Filter 6 dsh valve postion,-0.02
3/23/2017 6:38,Filter 6 dsh valve postion,-0.035
3/23/2017 6:53,Filter 6 dsh valve postion,-0.03
3/23/2017 7:08,Filter 6 dsh valve postion,-0.03
3/23/2017 7:23,Filter 6 dsh valve postion,-0.02
3/23/2017 7:38,Filter 6 dsh valve postion,-0.055
3/23/2017 7:53,Filter 6 dsh valve postion,-0.01
3/23/2017 8:08,Filter 6 dsh valve postion,-0.025
3/23/2017 8:23,Filter 6 dsh valve postion,-0.035
